Name,Rating,Number of Reviews,Price,Link
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",4.3 out of 5 stars,"10,923",598,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-24
,4.3 out of 5 stars,"10,923",598,
,4.3 out of 5 stars,"10,923",598,
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",4.3 out of 5 stars,681,889,https://www.amazon.in//Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-25
,4.3 out of 5 stars,681,889,
,4.3 out of 5 stars,681,889,
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,4.4 out of 5 stars,"5,703",988,https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-26
,4.4 out of 5 stars,"5,703",988,
,4.4 out of 5 stars,"5,703",988,
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,4.4 out of 5 stars,73,"1,999",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfbXRmOjIwMTE2ODgyMTgxMDk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
,4.4 out of 5 stars,73,"1,999",
,4.4 out of 5 stars,73,"1,999",
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",4.3 out of 5 stars,168,"4,499",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfbXRmOjIwMTEwMTgxNTExMTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
,4.3 out of 5 stars,168,"4,499",
,4.3 out of 5 stars,168,"4,499",
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",3.8 out of 5 stars,"2,710",799,https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-29
,3.8 out of 5 stars,"2,710",799,
,3.8 out of 5 stars,"2,710",799,
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,"2,765",749,https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-30
,3.9 out of 5 stars,"2,765",749,
,3.9 out of 5 stars,"2,765",749,
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,3.7 out of 5 stars,828,843,https://www.amazon.in//Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-31
,3.7 out of 5 stars,828,843,
,3.7 out of 5 stars,828,843,
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,4.3 out of 5 stars,"12,760",497,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-32
,4.3 out of 5 stars,"12,760",497,
,4.3 out of 5 stars,"12,760",497,
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",3.9 out of 5 stars,849,849,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-33
,3.9 out of 5 stars,849,849,
,3.9 out of 5 stars,849,849,
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",4.0 out of 5 stars,600,849,https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-34
,4.0 out of 5 stars,600,849,
,4.0 out of 5 stars,600,849,
ADISA Light Weight Laptop Backpack 32 Ltrs,4.0 out of 5 stars,"5,860",499,https://www.amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-35
,4.0 out of 5 stars,"5,860",499,
,4.0 out of 5 stars,"5,860",499,
